"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Elochoman_Skamokawa",2018,0.511,0.047,0.42,0.51,0.606
"Abernathy",2018,0.431,0.034,0.364,0.431,0.499
"Abernathy_Above AFTC",2018,0.453,0.035,0.385,0.453,0.522
"Mill",2018,0.438,0.035,0.369,0.438,0.506
"Germany",2018,0.458,0.035,0.39,0.458,0.527
"Upper Cowlitz and Cispus",2018,0.476,0.053,0.373,0.476,0.581
"Tilton",2018,0.476,0.053,0.373,0.475,0.581
"Lower Cowlitz",2018,0.47,0.05,0.373,0.47,0.565
"Delameter_Above Weir",2018,0.493,0.047,0.404,0.493,0.587
"Lacamas_Above Weir",2018,0.473,0.053,0.369,0.473,0.578
"Olequa_Above Weir",2018,0.484,0.051,0.388,0.483,0.584
"Ostrander_Above Weir",2018,0.471,0.05,0.371,0.47,0.569
"Green",2018,0.488,0.05,0.393,0.487,0.587
"Upper NF Toutle",2018,0.476,0.053,0.372,0.476,0.58
"NF_MS Toutle",2018,0.473,0.053,0.37,0.473,0.578
"SF Toutle",2018,0.461,0.052,0.358,0.461,0.562
"Coweeman",2018,0.492,0.051,0.392,0.492,0.594
"Kalama",2018,0.478,0.048,0.384,0.478,0.575
"Lower Lewis",2018,0.483,0.051,0.384,0.482,0.58
"Upper NF Lewis",2018,0.476,0.052,0.374,0.476,0.58
"Cedar",2018,0.45,0.052,0.346,0.45,0.553
"EF Lewis",2018,0.484,0.046,0.395,0.484,0.575
"Salmon Creek",2018,0.473,0.047,0.381,0.473,0.565
"Washougal",2018,0.486,0.05,0.389,0.486,0.585
"Lower Gorge",2018,0.467,0.044,0.38,0.467,0.554
"Duncan_Above Weir",2018,0.46,0.05,0.363,0.46,0.557
"Grays_Chinook",2019,0.473,0.04,0.396,0.473,0.55
"Elochoman_Skamokawa",2019,0.426,0.038,0.353,0.426,0.499
"Abernathy",2019,0.499,0.028,0.443,0.499,0.554
"Abernathy_Above AFTC",2019,0.5,0.028,0.445,0.5,0.554
"Mill",2019,0.482,0.028,0.426,0.483,0.538
"Germany",2019,0.48,0.029,0.424,0.48,0.538
"Upper Cowlitz and Cispus",2019,0.476,0.054,0.371,0.476,0.582
"Tilton",2019,0.476,0.053,0.373,0.476,0.58
"Lower Cowlitz",2019,0.456,0.046,0.364,0.457,0.546
"Delameter_Above Weir",2019,0.429,0.052,0.328,0.429,0.531
"Lacamas_Above Weir",2019,0.475,0.053,0.371,0.475,0.579
"Olequa_Above Weir",2019,0.472,0.052,0.369,0.472,0.573
"Ostrander_Above Weir",2019,0.429,0.046,0.34,0.429,0.519
"Green",2019,0.483,0.047,0.392,0.483,0.575
"Upper NF Toutle",2019,0.476,0.052,0.374,0.476,0.578
"NF_MS Toutle",2019,0.492,0.051,0.394,0.492,0.597
"SF Toutle",2019,0.487,0.046,0.397,0.486,0.579
"Coweeman",2019,0.454,0.049,0.359,0.454,0.549
"Kalama",2019,0.463,0.048,0.368,0.463,0.557
"Lower Lewis",2019,0.444,0.043,0.36,0.444,0.526
"Upper NF Lewis",2019,0.476,0.053,0.371,0.475,0.579
"Cedar",2019,0.46,0.05,0.363,0.461,0.558
"EF Lewis",2019,0.467,0.047,0.375,0.467,0.56
"Salmon Creek",2019,0.491,0.05,0.393,0.491,0.589
"Washougal",2019,0.484,0.043,0.4,0.484,0.57
"Lower Gorge",2019,0.411,0.034,0.344,0.411,0.478
